Place,Date,Class,Description
"Roscommon County, Michigan",October 1984,(Class A), - Man recalls a sasquatch watching he and a group of teenagers taking a walk while camping near Houghton Lake
"Roscommon County, Michigan",April 1999,(Class A), - Daylight sighting in woods behind high school outside Houghton Lake
"Roscommon County, Michigan",August 1980,(Class A), - Two firefighters have near collision with animal north of Houghton Lake. 
"Roscommon County, Michigan",November 1968,(Class B), - Hunter recalls a possible encounter during deer season near St. Helen
"Sanilac County, Michigan",August 2020,(Class A), - Daylight sighting along Lake Huron north of Lexington
"Sanilac County, Michigan",August 1987,(Class A)," - Witness observes strange ""monkey-like"" animal from bedroom window. "
"Schoolcraft County, Michigan",August 2010,(Class A), - Close encounter by a hunter tracking his dogs at night outside the Seney National Wildlife Refuge
"Schoolcraft County, Michigan",June 2006 / 07,(Class B), - Possible footprint and chatter outside Wetmore
"Schoolcraft County, Michigan",July 2006,(Class B), - Possible stalking of two people walking in the early evening near Lake Michigan and Gulliver Lake (Upper Peninsula)
"Schoolcraft County, Michigan",September 2002,(Class A), - Partridge hunter has a daylight sighting while driving from Germfask
"Schoolcraft County, Michigan",June 1993,(Class A), - Young ape-like creature seen squatting on a tree limb near Shingleton
"Schoolcraft County, Michigan",September 1978,(Class A), - Woman wakes to find sasquatch staring at her son  while in her car
"Schoolcraft County, Michigan",January 1977-1978,(Class A), - Nighttime sighting by Air Force personnel near Seney National Wildlife Refuge
"Schoolcraft County, Michigan",April 1962,(Class A), - Man recalls multi-witness sighting in teen years near Manistique
"St. Clair County, Michigan",September 1988,(Class A), - Piercing scream heard by hunters. 
"St. Clair County, Michigan",September 1981,(Class A), - a family reports repeated encounters on their farm. (From newspaper articles.) 
"Tuscola County, Michigan",February 1999,(Class A)," - Having morning coffee and looking out the window, man sees tall black ""ape"" walking in his woods."
"Tuscola County, Michigan",May 1997,(Class B), - Witness heard screams coming from the direction of the hay field. 
"Washtenaw County, Michigan",November 2008,(Class B), - Two hunters experience possible sasquatch intimidation behavior near Pinckney State Recreation Area
"Washtenaw County, Michigan",August 2004,(Class B), - Loud vocalization heard near gravel pit
"Washtenaw County, Michigan",March 2004,(Class A), - Young man sees strange animal running down road under streetlight.
"Washtenaw County, Michigan",August 2001,(Class A), - 2 witnesses see a BF at night in the headlights
"Washtenaw County, Michigan",February 2001,(Class B)," - Bare, wide footprints seen in the mud of a February thaw"
"Washtenaw County, Michigan",June 1999,(Class B), - Father describes possible late night vocalizations heard by his boys near Willis
"Washtenaw County, Michigan",July 1974,(Class B), - Man recalls family experiencing possible intimidation near Ann Arbor
"Wayne County, Michigan", 2012,(Class B), - Ongoing activity and possible vocalizations recorded near Detroit Metro Airport
"Wexford County, Michigan",July 2010,(Class B), - Late afternoon encounter by hunters scouting for deer between Cadillac and Manton
"Wexford County, Michigan",October 2004,(Class B), - Disoriented coon hunter is followed out of the woods and experiences possible intimidation near Buckley
"Wexford County, Michigan",October 2000,(Class A), - Teens shining for deer have a scary encounter near Kingsley
"Wexford County, Michigan",October 2000/01,(Class B), - Possible intimidation experienced by two bow hunters near Cadillac
"Alcona County, Michigan",June 2018,(Class B), - Family and friends hear two whoops from an unknown creature outside Mikado.
"Alcona County, Michigan",July 2013,(Class B), - Huge rocks thrown at night fishermen on Jewell Lake
"Alcona County, Michigan",October 2006,(Class B), - Two bowhunters hear possible screams near Glennie
"Alcona County, Michigan",October 2006,(Class B), - Possible vocalization heard at dusk by bowhunter near Glennie
"Alcona County, Michigan",November 1985,(Class B)," - Hunters endure hour-long, intimidation behavior by unseen aggressor(s)"
"Alger County, Michigan",June 2007,(Class B), - Possible knocking heard in Pictured Rocks National Lakeshore
"Alger County, Michigan",July 1944,(Class B), - Memory told of a possible daylight sighting while playing in the woods in Eben Junction
"Allegan County, Michigan",June 2007,(Class B), - Possible vocals at property near the Allegan State Game Area
"Alpena County, Michigan",November 2012,(Class B), - Photographs taken of a possible trackway on property west of Alpena
"Alpena County, Michigan",July 2011,(Class B), - Possible vocalizations heard from woods on a family farm outside Alpena
"Alpena County, Michigan",September 1998,(Class B)," - While bird hunting in the woods witness observed "" something "" dark brown, seven feet tall, running extremely fast through the woods. "
"Alpena County, Michigan",June 1980,(Class B), - Fisherman recalls being startled by late night encounter on Fletcher Pond near Hillman
"Arenac County, Michigan",November 2003,(Class A)," - Bigfoot tries to hide under brush, leaves legs exposed"
"Baraga County, Michigan",August 1998,(Class B), - 15-16 inch and 8-10 inch very fresh tracks found in the mud. 
"Baraga County, Michigan",July 1971 ,(Class A), - Teenager views runner covered in hair near Michigamme
"Baraga County, Michigan",September 1970,(Class A), - Dusk sighting by two women near Three Lakes (w/sketch by artist)
"Barry County, Michigan",January 2011,(Class B), - Young woman hears possible vocalization late at night by a home near Gull Lake
"Benzie County, Michigan",August 2010,(Class B), - Description of several strange encounters along Sleeping Bear Dunes National Shoreline
"Benzie County, Michigan",September 1998,(Class B), - creature screamed twice
"Benzie County, Michigan",August 1998,(Class A), - Sisters have nighttime sighting near Buckley. 
"Benzie County, Michigan",Spring mid 80's,(Class A)," - Near Bendon, woman and daughter recall their daylight sighting from automobile"
"Benzie County, Michigan",October 1984,(Class B)," - Possible stalking at rural school bus stop near Benzonia, Michigan"
"Berrien County, Michigan",June 2012,(Class B), - Gentleman walking his dog at dusk describes possible encounter and print near St. Joseph.
"Berrien County, Michigan",February 1993,(Class B)," - Man recalls a possible brief sighting near Buchanan, while looking for dog"
"Berrien County, Michigan",Winter Maybe 1974,(Class B)," - Observer hears scream changing to low ""demonic"" chuckle"
"Calhoun County, Michigan",October 1979,(Class A), - Sighting by two teenagers in woods near Albion
"Calhoun County, Michigan",September 1974,(Class A), - Motorist has nighttime sighting of animal near Marshall.
"Cass County, Michigan",July 2001,(Class A), - 2 Friends with a flashlight watch a BF late at night
"Cass County, Michigan",Summer Late1960's,(Class B), - Possible Evening Encounter by Woman on Horseback near Union
"Charlevoix County, Michigan",June 2008,(Class B), - Woman describes foul odor and possible vocalizatons near home outside Charlevoix
"Cheboygan County, Michigan",January 2013,(Class B), - Hunters come across an unknown track line with an incredible stride near Tower
"Cheboygan County, Michigan",July 2009,(Class A), - Motorist is shocked by sighting on I-75 between Wolverine & Indian River
"Cheboygan County, Michigan",September 2008,(Class A), - Dusk sighting by two teenagers participating in the Youth Deer Hunt near Wolverine
"Cheboygan County, Michigan",November 1983,(Class B)," - Hunter hears loud vocalizations as the animal moves around him, hunting partner hears it as well"
"Chippewa County, Michigan",August 1999,(Class A), - Woman recalls her early morning sighting of a sasquatch east of Brimley
"Chippewa County, Michigan",April 2008,(Class B), - Man witnesses the sillouette of a tall creature while boiling sap near Sault Ste. Marie
"Crawford County, Michigan",July 2000,(Class B), - Odd sounds and animal behavior from the forest cause woman concern.
"Crawford County, Michigan",Spring 1972-1974?,(Class A), - Man recalls childhood incident near Grayling
"Delta County, Michigan",May 2018,(Class B), - Possible vocalization outside Rock MI near western edge of Hiawatha National Forest 
"Delta County, Michigan",November 2016,(Class B), - Possible ongoing activity experienced while hiking a trail outside Gladstone
"Delta County, Michigan",April 2014,(Class B), - Fishermen have possible daytime encounter near Escanaba
"Delta County, Michigan",November 2013,(Class B), - Deer hunter reports possible ongoing activity on his family's property near Bark River
"Delta County, Michigan",January 2013,(Class B), - Possible nighttime sighting by a couple in separate vehicles outside Escanaba
"Delta County, Michigan",October 2005,(Class B), - Possible sighting by a motorist avoiding deer west of Escanaba
"Delta County, Michigan",July 2001,(Class B), - Possible early evening sighting at a cemetery outside Escanaba
"Delta County, Michigan",October 1997,(Class A), - Daylight multi-witness road-crossing sighting just outside Gladstone (MI-UP) 
"Delta County, Michigan",July 1986,(Class B), - Campers have strange encounter near swamp in the Upper Peninsula
"Delta County, Michigan",November 1982,(Class B), - Memory told of strange incidents while alone at a family hunting camp near Cornell
"Delta County, Michigan",October 1982,(Class A), - Motorist sighting on County Road 426 between Cornell and Watson
